title,skin_type1,skin_type2,skin_type3,skin_trouble1,skin_trouble2,skin_trouble3,skin_stim1,skin_stim2,skin_stim3,components,skin_type_result,skin_trouble_result
[7월 올영픽/아랑PICK] 파티온 노스카나인 트러블 세럼 단독 기획 (50ml+15ml),21.0,59.0,21.0,22.0,76.0,2.0,83.0,17.0,1.0,"쑥잎추출물,정제수,글리세린,다이프로필렌글라이콜,판테놀,1,2-헥산다이올,펜틸렌글라이콜,소듐하이알루로네이트,병풀추출물,소듐헤파린,사과추출물,다이에톡시에틸석시네이트,하이드록시에틸우레아,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,트로메타민,알란토인,하이드록시아세토페논,에틸헥실글리세린,폴리글리세릴-10라우레이트,석시닉애씨드,토코페롤,카프릴릴/카프릴글루코사이드,하이드로제네이티드레시틴,세라마이드엔피,잔탄검",skin_type2,skin_trouble2
[1+1+1한정기획/모공탄력] 성분에디터 그린토마토 모공앰플 30ml 1+1+1 트리플기획,25.0,61.0,14.0,39.0,42.0,19.0,67.0,31.0,2.0,"정제수,부틸렌글라이콜,글리세린,자일리톨,1,2-헥산다이올,나이아신아마이드,다이프로필렌글라이콜,에탄올,트레할로오스,잔탄검,C12-13파레스-9,카보머,다이포타슘글리시리제이트,트로메타민,알란토인,폴리메틸실세스퀴옥세인,소듐시트레이트,아데노신,인도멀구슬나무잎추출물,인도멀구슬나무꽃추출물,스타이렌/아크릴레이트코폴리머,토마토추출물,데이지꽃추출물,하이드롤라이즈드콜라겐,판테놀,글루코노락톤,아이비고드열매추출물,호박가루,가지열매추출물,홀리바질잎추출물,울금뿌리추출물,참산호말추출물,드럼스틱씨오일,하이드로제네이티드폴리아이소부텐,하이드로제네이티드레시틴,소듐하이알루로네이트,세라마이드엔피,하이알루로닉애씨드,하이드롤라이즈드하이알루로닉애씨드,하이드록시프로필트라이모늄하이알루로네이트,소듐하이알루로네이트크로스폴리머,칡뿌리추출물,대왕송잎추출물,당느릅나무뿌리추출물,달맞이꽃추출물,지모뿌리추출물,에틸헥실글리세린,메틸다이하이드로자스모네이트,다이소듐이디티에이,페네틸알코올,소듐클로라이드,다이소듐포스페이트,포타슘클로라이드,포타슘포스페이트,에틸리날룰,에틸렌브라실레이트,리날릴아세테이트,유칼립톨,메틸렌다이옥시페닐메틸프로판알,2-t-부틸사이클로헥실아세테이트,헥세닐아세테이트,3-헥센올,2,4-다이메틸-3-사이클로헥신카복스알데하이드,벤질글라이콜,토코페롤,라즈베리케톤",skin_type2,skin_trouble2
[대용량][한정기획] 브링그린 티트리시카수딩토너 500mL+200리필(배스킨콜라보),17.0,54.0,29.0,19.0,81.0,1.0,64.0,34.0,2.0,"■티트리추출물,정제수,다이프로필렌글라이콜,티트리잎추출물,티트리잎수,병풀추출물,1,2-헥산다이올,부틸렌글라이콜,티트리꽃/잎/줄기추출물,베타인,판테놀,옥틸도데세스-16,소듐시트레이트,시트릭애씨드,티트리잎오일,베타인살리실레이트,잔탄검	",skin_type2,skin_trouble2
[데이식스 도운PICK/한정기획] 아이소이 BR 블레미쉬 케어 업 세럼30ml 1+1 기획(30ml+30ml),22.0,66.0,12.0,26.0,37.0,38.0,65.0,33.0,2.0,"정제수,다마스크장미꽃수,글리세린,에탄올,알부틴,베타인,트레할로오스,다마스크장미꽃오일,비타민나무열매추출물,아사이팜열매추출물,로우스위트블루베리추출물,인디안구스베리열매추출물,크랜베리추출물,바위돌꽃뿌리추출물,고삼뿌리추출물,블랙윌로우나무껍질추출물,약모밀추출물,잔탄검,알란토인,판테놀,붉나무충영추출물,올리브나무잎추출물,감국꽃추출물,회화나무싹추출물,꿀풀잎추출물,밤껍질추출물,흰버드나무껍질추출물,병풀추출물,부틸렌글라이콜,1,2-헥산다이올,포트마리골드꽃추출물,황금추출물,모란뿌리추출물,스페인감초뿌리추출물*아이소이에서사용하는에탄올은식물발효성분입니다",skin_type2,skin_trouble3
[7월 올영픽/올인원케어] 달바 화이트 트러플 퍼스트 스프레이 세럼 100ml + 100ml 기획세트,55.0,41.0,4.0,75.0,20.0,5.0,70.0,27.0,3.0,"정제수,다이프로필렌글라이콜,네오펜틸글라이콜다이헵타노에이트,글리세레스-26,1,2-헥산다이올,나이아신아마이드,솔비톨,하이드록시에틸우레아,아보카도오일,멕시칸치아씨추출물,바질꽃/잎/줄기추출물,베타인,귀리커넬추출물,부틸렌글라이콜,흰서양송로추출물(1,740ppm),글리세린,해바라기씨오일,토코페릴아세테이트,다이소듐이디티에이,다이포타슘글리시리제이트,아데노신,소듐팔미토일프롤린,비피다발효용해물,알바수련꽃추출물,하이드롤라이즈드하이알루로닉애씨드,돌콩오일,스노우로투스추출물,인삼추출물,연꽃꽃추출물,뽕나무껍질추출물,마돈나백합꽃추출물,에델바이스추출물,약모밀추출물,프리지어추출물,카보머,데이지꽃추출물,알지닌,포타슘솔베이트,아나토씨오일,토코페롤,향료,리날룰,헥실신남알,리모넨,시트로넬올",skin_type1,skin_trouble1
[7일특가/흔적미백] 넘버즈인 5번 글루타치온C 흔적 앰플 30ml+30ml 듀오기획,35.0,58.0,7.0,25.0,22.0,53.0,62.0,34.0,4.0,"정제수,부틸렌글라이콜,나이아신아마이드(50,000ppm),판테놀(50,000ppm),트라넥사믹애씨드(40,000ppm),1,2-헥산다이올,네오펜틸글라이콜다이카프레이트,카프릴릭/카프릭트라이글리세라이드,솔비톨,월귤추출물,아이리쉬모스추출물,시어버터,사탕수수추출물,알파-알부틴,비피다발효용해물,소듐하이알루로네이트,인도멀구슬나무꽃추출물,홀리바질잎추출물,인도멀구슬나무잎추출물,울금뿌리추출물,참산호말추출물,흰목이버섯추출물,펜틸렌글라이콜,글리세린,3-O-에틸아스코빅애씨드(2,000ppm),비사보롤,트로메타민,에틸헥실글리세린,아데노신,하이드로제네이티드레시틴,알란토인,글루타티온(100ppm),세라마이드엔피,베타-글루칸,다이포타슘글리시리제이트,토코페롤,아스코빅애씨드(1ppb),아스코빌글루코사이드(1ppb),토코페릴아세테이트,하이드록시프로필사이클로덱스트린,유비퀴논,티옥틱애씨드,포타슘하이드록사이드,베헤닐알코올,카보머,잔탄검,다이소듐이디티에이",skin_type2,skin_trouble3
[지안씨PICK/NEW]스킨앤랩 베리어덤 링거 앰플70ml,39.0,50.0,11.0,77.0,23.0,1.0,92.0,8.0,2.0,"정제수,프로판다이올,글리세린,1,2-헥산다이올,클로렐라불가리스추출물,소듐하이알루로네이트,락토바실러스발효용해물,판테놀,글라이코실트레할로오스,글루코오스,부틸렌글라이콜,하이드로제네이티드스타치하이드롤리세이트,프룩토올리고사카라이드,프룩토오스,폴리쿼터늄-51,글리세릴글루코사이드,사카라이드아이소머레이트,에틸헥실글리세린,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,알란토인,하이드록시프로필트라이모늄하이알루로네이트,트로메타민,덱스트린,소듐파이테이트,소듐클로라이드,베타-글루칸,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,사이아노코발아민,시트릭애씨드,소듐시트레이트,소듐바이카보네이트,칼슘클로라이드,포타슘크로라이드,토코페롤,잔탄검,치자추출물",skin_type2,skin_trouble1
"[7월 올영픽/단독기획] 파티온 노스카나인 트러블 크림 45ml 기획(+크림5ml, 세럼15ml 증정)",18.0,57.0,25.0,24.0,76.0,1.0,81.0,19.0,1.0,"정제수,글리세린,메도우폼씨오일,카프릴릭/카프릭트라이글리세라이드,비닐다이메티콘,다이글리세린,폴리글리세릴-3다이스테아레이트,세테아릴알코올,1,2-헥산다이올,펜틸렌글라이콜,펜타에리스리틸테트라에틸헥사노에이트,쑥잎추출물,하이드로제네이티드쌀겨오일,하이드로제네이티드레시틴,세테아릴올리베이트,소듐스테아로일글루타메이트,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,폴리글리세릴-2스테아레이트,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,아이소도데케인,하이드록시아세토페논,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,클로렐라불가리스추출물,글루코오스,솔비탄올리베이트,글리세릴스테아레이트,스테아릴알코올,판테놀,글리세릴스테아레이트시트레이트,부틸렌글라이콜,프룩토올리고사카라이드,프룩토오스,잔탄검,스테아릭애씨드,석시닉애씨드,다이메티콘/비닐다이메티콘크로스폴리머,비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,소듐파이테이트,솔비탄아이소스테아레이트,폴리글리세릴-10스테아레이트,세라마이드엔피,알란토인,베타-글루칸,폴리글리세릴-10라우레이트,세라마이드엔에스,소듐헤파린,콜레스테롤,에틸헥실글리세린,피토스핑고신,세라마이드에이피,세라마이드에이에스,스쿠알란,다이프로필렌글라이콜,병풀추출물,세라마이드이오피,카프릴릴/카프릴글루코사이드",skin_type2,skin_trouble2
퍼셀 20억/mL 픽셀바이옴 원액 20ml,26.0,61.0,13.0,29.0,62.0,10.0,75.0,25.0,1.0,"비피다발효용해물(45%),락토바실러스발효용해물(45%),부틸렌글라이콜,1,2-헥산다이올,에틸헥실글리세린",skin_type2,skin_trouble2
[7일특가/모공세럼]넘버즈인 3번 보들보들 결 세럼 50ml 리필기획(50ml+50ml),22.0,78.0,0.0,56.0,44.0,0.0,44.0,56.0,0.0,"비피다발효용해물,갈락토미세스발효여과물,부틸렌글라이콜,메틸글루세스-20,정제수,나이아신아마이드,피이지-90,1,2-헥산다이올,글리세린,스쿠알란,알테로모나스발효추출물,실크추출물,염소유추출물,소듐하이알루로네이트,판테놀,아데노신,글리세레스-26,잔탄검,폴리글리세릴-3다이스테아레이트,글리세릴스테아레이트에스이,글리세릴스테아레이트시트레이트,폴리글리세릴-3메틸글루코오스다이스테아레이트,카보머,트로메타민,에틸헥실글리세린,카프릴릴글라이콜,트로폴론,다이소듐이디티에이",skin_type2,skin_trouble1
아이디얼 포 맨 프레시 올인원 젤 로션 1+1 한정기획,20.0,52.0,29.0,54.0,43.0,3.0,66.0,34.0,0.0,"정제수,메틸프로판다이올,다이프로필렌글라이콜,1,2-헥산다이올,나이아신아마이드,아이소헥사데칸,세테아릴에틸헥사노에이트,검정콩추출물,티트리추출물,흰버드나무껍질추출물,귀리커넬추출물,봉의꼬리추출물,아티초크잎추출물,당느릅나무뿌리추출물,줄맨드라미씨추출물,검은깨추출물,율무씨추출물,흑미추출물,플랑크톤추출물,녹차수,소듐하이알루로네이트,하이드로제네이티드레시틴,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,알지닌,글리세린,부틸렌글라이콜,에틸헥실글리세린,알란토인,소듐아크릴릭애씨드/엠에이코폴리머,소듐아크릴레이트코폴리머,카프릴릭/카프릭트라이글리세라이드,프로테아제,다이포타슘글리시리제이트,에탄올,폴리쿼터늄-51,베타-글루칸,카프릴릴글라이콜,레시틴,매스틱검,다이메틸실란올하이알루로네이트,하이드롤라이즈드소듐하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,산소,트로폴론,포타슘하이알루로네이트,하이알루로닉애씨드,해수,소듐하이알루로네이트크로스폴리머,하이드록시프로필트라이모늄하이알루로네이트,소듐하이알루로네이트다이메틸실란올,소듐아세틸레이티드하이알루로네이트,마데카소사이드,향료,부틸페닐메틸프로피오날,리모넨",skin_type2,skin_trouble1
[6월 올영픽/단독기획] 토리든 다이브인 저분자 히알루론산 세럼 50ml 리필기획(+리필팩 50ml),36.0,53.0,11.0,76.0,24.0,1.0,82.0,18.0,1.0,"[다이브인세럼]정제수,부틸렌글라이콜,글리세린,다이프로필렌글라이콜,1,2-헥산다이올,판테놀,소듐하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드(500ppm),소듐아세틸레이티드하이알루로네이트,소듐하이알루로네이트크로스폴리머,하이드롤라이즈드소듐하이알루로네이트,알란토인,트레할로스,베타인,프로판다이올,쇠비름추출물,버지니아풍년화추출물,마데카소사이드,마데카식애씨드,세라마이드엔피,베타-글루칸,말라카이트추출물,콜레스테롤,펜틸렌글라이콜,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,피브이엠/엠에이코폴리머,폴리글리세릴-10라우레이트,잔탄검,트로메타민,카보머,에틸헥실글리세린,황금추출물,모란뿌리추출물",skin_type2,skin_trouble1
[3년연속어워즈] 아누아 어성초 77 수딩 토너 350ml 리필 기획세트(350ml+350ml리필),27.0,54.0,19.0,32.0,66.0,2.0,75.0,25.0,1.0,"약모밀추출물(77%),정제수,1,2-헥산다이올,글리세린,베타인,병풀추출물,체이스트트리추출물,우엉뿌리추출물,진흙버섯추출물,쇠비름추출물,포도추출물,사과추출물,사탕수수추출물,판테놀,마트리카리아꽃추출물,소듐하이알루로네이트,하이드록시프로필트라이모늄하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,소듐아세틸레이티드하이알루로네이트,하이알루로닉애씨드,소듐하이알루로네이트크로스폴리머,포타슘하이알루로네이트,메틸프로판다이올,부틸렌글라이콜,아이소펜틸다이올,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,트로메타민,다이소듐이디티에이",skin_type2,skin_trouble2
[수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획 (60ml+30ml),35.0,56.0,9.0,78.0,20.0,2.0,77.0,23.0,1.0,"정제수,스쿠알란(150,000ppm),글리세린,1,2-헥산다이올,베타인,판테놀,소듐하이알루로네이트,하이드롤라이즈드콜라겐,하이드록시프로필트라이모늄하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,소듐아세틸레이티드하이알루로네이트,아세틸헥사펩타이드-8,아데노신,하이알루로닉애씨드,하이드롤라이즈드소듐하이알루로네이트,소듐하이알루로네이트크로스폴리머,포타슘하이알루로네이트,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,알지닌,알란토인,자일리틸글루코사이드,안하이드로자일리톨,자일리톨,글루코오스,부틸렌글라이콜,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,카프릴릴글라이콜",skin_type2,skin_trouble1
라운드랩 소나무 진정 시카 앰플 30ml 더블기획 (+크림 50ml),21.0,60.0,19.0,17.0,83.0,0.0,76.0,24.0,1.0,"[소나무앰플]정제수,부틸렌글라이콜,다이프로필렌글라이콜,글리세레스-26,글리세린,소나무잎추출물(10,022ppm),1,2-헥산다이올,프로판다이올,하이알루로닉애씨드,하이드롤라이즈드하이알루로닉애씨드,소듐하이알루로네이트,에틸헥실글리세린,병풀추출물(111.22ppm),인도멀구슬나무잎추출물,황련뿌리추출물,인도멀구슬나무꽃추출물,하이드록시아세토페논,글라이코프로테인(2.0044ppm),소듐시트레이트,카프릴로일살리실릭애씨드,아시아티코사이드(0.1002ppm),아시아틱애씨드(0.1002ppm),마데카소사이드(0.1002ppm),마데카식애씨드(0.1002ppm),다이소듐이디티에이,잔탄검,카보머,트로메타민,시트릭애씨드[소나무크림]정제수,부틸렌글라이콜,글리세린,카프릴릭/카프릭트라이글리세라이드,1,2-헥산다이올,소나무잎추출물(10,020ppm),하이알루로닉애씨드,하이드롤라이즈드하이알루로닉애씨드,소듐하이알루로네이트,에틸헥실글리세린,카카오씨추출물,인도멀구슬나무꽃추출물,인도멀구슬나무잎추출물,병풀추출물(100.2ppm),녹차추출물,오카무라큰실말추출물,흰버드나무껍질추출물,커피콩추출물,베르가모트잎추출물,병풀잎추출물(10.6ppm),세테아릴알코올,프로판다이올,소듐폴리아크릴레이트,세테아릴올리베이트,솔비탄올리베이트,글루코노락톤,카프릴로일살리실릭애씨드,덱스트린,글라이코프로테인(2.004ppm),에틸헥실스테아레이트,바이오사카라이드검-1,아시아티코사이드(0.1002ppm),아시아틱애씨드(0.1002ppm),마데카소사이드(0.1002ppm),마데카식애씨드(0.1002ppm),데실글루코사이드,솔비탄아이소스테아레이트,하이드록시에틸셀룰로오스,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,트라이데세스-6,다이소듐이디티에이",skin_type2,skin_trouble2
